,股票代码,股票简称,注册地,办公地,中文全称,所属城市
1021,002487,大金重工,辽宁省阜新市,辽宁省阜新市,大金重工股份有限公司,阜新
1022,002488,金固股份,杭州,杭州,浙江金固股份有限公司,杭州
1023,002489,浙江永强,浙江省临海市,浙江省临海市,浙江永强集团股份有限公司,台州
1024,002490,山东墨龙,山东省寿光市,山东省寿光市,山东墨龙石油机械股份有限公司,潍坊
1025,002491,通鼎互联,苏州,苏州,通鼎互联信息股份有限公司,苏州
1026,002492,恒基达鑫,广东省珠海市,广东省珠海市,珠海恒基达鑫国际化工仓储股份有限公司,珠海
1027,002493,荣盛石化,杭州,杭州,荣盛石化股份有限公司,杭州
1028,002494,华斯股份,河北省沧州市,河北省沧州市,华斯控股股份有限公司,沧州
1029,002495,佳隆股份,广东省普宁市,广东省普宁市,广东佳隆食品股份有限公司,揭阳
1030,002496,ST 辉丰,江苏省盐城市,江苏省盐城市,江苏辉丰生物农业股份有限公司,盐城
1031,002497,雅化集团,四川省雅安市,成都,四川雅化实业集团股份有限公司,雅安
1032,002498,汉缆股份,青岛,青岛,青岛汉缆股份有限公司,青岛
1033,002499,*ST 科林,苏州,重庆,科林环保装备股份有限公司,苏州
1034,002500,山西证券,山西省太原市,山西省太原市,山西证券股份有限公司,太原
1035,002501,*ST 利源,吉林省辽源市,吉林省辽源市,吉林利源精制股份有限公司,辽源
1036,002502,鼎龙文化,广东省汕头市,广州,鼎龙文化股份有限公司,汕头
1037,002503,搜于特,东莞,东莞,搜于特集团股份有限公司,东莞
1038,002504,ST 弘高,北京,北京,北京弘高创意建筑设计股份有限公司,北京
1039,002505,鹏都农牧,长沙,上海,鹏都农牧股份有限公司,长沙
1040,002506,协鑫集成,上海,苏州,协鑫集成科技股份有限公司,上海
1041,002507,涪陵榨菜,重庆,重庆,重庆市涪陵榨菜集团股份有限公司,重庆
1042,002508,老板电器,杭州,杭州,杭州老板电器股份有限公司,杭州
1043,002509,天广中茂,福建省南安市,福建省南安市,天广中茂股份有限公司,南安
1044,002510,天汽模,天津,天津,天津汽车模具股份有限公司,天津
1045,002511,中顺洁柔,广东省中山市,广东省中山市,中顺洁柔纸业股份有限公司,中山
1046,002512,达华智能,福建省福州市,福建省福州市,福州达华智能科技股份有限公司,福州
1047,002513,蓝丰生化,江苏省新沂市,江苏省新沂市,江苏蓝丰生物化工股份有限公司,新沂
1048,002514,宝馨科技,江苏省泰州市,苏州,江苏宝馨科技股份有限公司,泰州
1049,002515,金字火腿,浙江省金华市,浙江省金华市,金字火腿股份有限公司,金华
1050,002516,旷达科技,江苏省常州市,江苏省常州市,旷达科技集团股份有限公司,常州
1051,002517,恺英网络,福建省泉州市,上海,恺英网络股份有限公司,泉州
1052,002518,科士达,深圳,深圳,深圳科士达科技股份有限公司,深圳
1053,002519,银河电子,江苏省张家港市,江苏省张家港市,江苏银河电子股份有限公司,张家港
1054,002520,日发精机,浙江省绍兴市,浙江省绍兴市,浙江日发精密机械股份有限公司,绍兴
1055,002521,齐峰新材,山东省淄博市,山东省淄博市,齐峰新材料股份有限公司,淄博
1056,002522,浙江众成,浙江省嘉兴市,浙江省嘉兴市,浙江众成包装材料股份有限公司,嘉兴
1057,002523,天桥起重,湖南省株洲市,湖南省株洲市,株洲天桥起重机股份有限公司,株洲
1058,002524,光正眼科,新疆维吾尔自治区乌鲁木齐市,新疆维吾尔自治区乌鲁木齐市,光正眼科医院集团股份有限公司,乌鲁木齐
1059,002526,山东矿机,山东省潍坊市,山东省潍坊市,山东矿机集团股份有限公司,潍坊
1060,002527,新时达,上海,上海,上海新时达电气股份有限公司,上海
1061,002528,英飞拓,深圳,深圳,深圳英飞拓科技股份有限公司,深圳
1062,002529,海源复材,江西省新余市,福建省福州市,江西海源复合材料科技股份有限公司,新余
1063,002530,金财互联,江苏省盐城市,江苏省盐城市,金财互联控股股份有限公司,盐城
1064,002531,天顺风能,苏州,上海,天顺风能(苏州)股份有限公司,苏州
1065,002532,天山铝业,浙江省温岭市,新疆维吾尔自治区石河子市,天山铝业集团股份有限公司,台州
1066,002533,金杯电工,长沙,长沙,金杯电工股份有限公司,长沙
1067,002534,西子洁能,杭州,杭州,西子清洁能源装备制造股份有限公司,杭州
1068,002535,ST 林重,河南省林州市,河南省林州市,林州重机集团股份有限公司,林州
1069,002536,飞龙股份,河南省南阳市,河南省南阳市,飞龙汽车部件股份有限公司,南阳
1070,002537,海联金汇,青岛,青岛,海联金汇科技股份有限公司,青岛
1071,002538,司尔特,安徽省宁国市,安徽省宁国市,安徽省司尔特肥业股份有限公司,宁国
1072,002539,云图控股,成都,成都,成都云图控股股份有限公司,成都
1073,002540,亚太科技,江苏省无锡市,江苏省无锡市,江苏亚太轻合金科技股份有限公司,无锡
1074,002541,鸿路钢构,合肥,合肥,安徽鸿路钢结构(集团)股份有限公司,合肥
1075,002542,中化岩土,北京,北京,中化岩土集团股份有限公司,北京
1076,002543,万和电气,佛山,佛山,广东万和新电气股份有限公司,佛山
1077,002544,杰赛科技,广州,广州,广州杰赛科技股份有限公司,广州
1078,002545,东方铁塔,广州,广州,青岛东方铁塔股份有限公司,青岛
1079,002546,新联电子,南京,南京,南京新联电子股份有限公司,南京
1080,002547,春兴精工,苏州,苏州,苏州春兴精工股份有限公司,苏州
1081,002548,金新农,深圳,深圳,深圳市金新农科技股份有限公司,深圳
1082,002549,凯美特气,湖南省岳阳市,湖南省岳阳市,湖南凯美特气体股份有限公司,岳阳
1083,002550,千红制药,江苏省常州市,江苏省常州市,常州千红生化制药股份有限公司,常州
1084,002551,尚荣医疗,深圳,深圳,深圳市尚荣医疗股份有限公司,深圳
1085,002552,宝鼎科技,杭州,杭州,宝鼎科技股份有限公司,杭州
1086,002553,南方轴承,江苏省常州市,江苏省常州市,江苏南方轴承股份有限公司,常州
1087,002554,惠博普,长沙,北京,华油惠博普科技股份有限公司,长沙
1088,002555,三七互娱,安徽省芜湖市,安徽省芜湖市,三七互娱网络科技集团股份有限公司,芜湖
1089,002556,辉隆股份,合肥,合肥,安徽辉隆农资集团股份有限公司,合肥
1090,002557,洽洽食品,合肥,合肥,洽洽食品股份有限公司,合肥
1091,002558,巨人网络,重庆,上海,巨人网络集团股份有限公司,重庆
1092,002559,亚威股份,江苏省扬州市,江苏省扬州市,江苏亚威机床股份有限公司,扬州
1093,002560,通达股份,河南省偃师市,河南省偃师市,河南通达电缆股份有限公司,洛阳
1094,002561,徐家汇,上海,上海,上海徐家汇商城股份有限公司,上海
1095,002562,兄弟科技,浙江省海宁市,浙江省海宁市,兄弟科技股份有限公司,嘉兴
1096,002563,森马服饰,浙江省温州市,上海,浙江森马服饰股份有限公司,温州
1097,002564,天沃科技,江苏省张家港市,上海,苏州天沃科技股份有限公司,苏州
1098,002565,顺灏股份,上海,上海,上海顺灏新材料科技股份有限公司,上海
1099,002566,益盛药业,吉林省集安市,吉林省集安市,吉林省集安益盛药业股份有限公司,通化
1100,002567,唐人神,湖南省株洲市,湖南省株洲市,唐人神集团股份有限公司,株洲
1101,002568,百润股份,上海,上海,上海百润投资控股集团股份有限公司,上海
1102,002569,ST 步森,浙江省诸暨市,杭州,浙江步森服饰股份有限公司,绍兴
1103,002570,贝因美,杭州,杭州,贝因美股份有限公司,杭州
1104,002571,德力股份,安徽省滁州市,安徽省滁州市,安徽德力日用玻璃股份有限公司,滁州
1105,002572,索菲亚,广州,广州,索菲亚家居股份有限公司,广州
1106,002573,清新环境,北京,北京,北京清新环境技术股份有限公司,北京
1107,002574,明牌珠宝,浙江省绍兴市,浙江省绍兴市,浙江明牌珠宝股份有限公司,绍兴
1108,002575,*ST 群兴,广东省汕头市,苏州,广东群兴玩具股份有限公司,汕头
1109,002576,通达动力,江苏省南通市,江苏省南通市,江苏通达动力科技股份有限公司,南通
1110,002577,雷柏科技,深圳,深圳,深圳雷柏科技股份有限公司,深圳
1111,002578,闽发铝业,福建省南安市,福建省南安市,福建省闽发铝业股份有限公司,泉州
1112,002579,中京电子,广东省惠州市,广东省惠州市,惠州中京电子科技股份有限公司,惠州
1113,002580,圣阳股份,山东省曲阜市,山东省曲阜市,山东圣阳电源股份有限公司,济宁
1114,002581,未名医药,山东省淄博市,北京,山东未名生物医药股份有限公司,淄博
1115,002582,好想你,河南省新郑市,河南省新郑市,好想你健康食品股份有限公司,郑州
1116,002583,海能达,深圳,深圳,海能达通信股份有限公司,深圳
1117,002584,西陇科学,广东省汕头市,广州,西陇科学股份有限公司,汕头
1118,002585,双星新材,江苏省宿迁市,江苏省宿迁市,江苏双星彩塑新材料股份有限公司,宿迁
1119,002586,*ST 围海,宁波,宁波,浙江省围海建设集团股份有限公司,宁波
1120,002587,奥拓电子,深圳,深圳,深圳市奥拓电子股份有限公司,深圳
1121,002588,史丹利,山东省临沂市,山东省临沂市,史丹利农业集团股份有限公司,临沂
1122,002589,瑞康医药,山东省烟台市,山东省烟台市,瑞康医药集团股份有限公司,烟台
1123,002590,万安科技,浙江省诸暨市,浙江省诸暨市,浙江万安科技股份有限公司,绍兴
1124,002591,恒大高新,江西省南昌市,江西省南昌市,江西恒大高新技术股份有限公司,南昌
1125,002592,ST 八菱,广西壮族自治区南宁市,广西壮族自治区南宁市,南宁八菱科技股份有限公司,南宁
1126,002593,日上集团,福建省厦门市,福建省厦门市,厦门日上集团股份有限公司,厦门
1127,002594,比亚迪,深圳,深圳,比亚迪股份有限公司,深圳
1128,002595,豪迈科技,山东省高密市,山东省高密市,山东豪迈机械科技股份有限公司,潍坊
1129,002596,海南瑞泽,海南省三亚市,海南省三亚市,海南瑞泽新型建材股份有限公司,三亚
1130,002597,金禾实业,安徽省滁州市,安徽省滁州市,安徽金禾实业股份有限公司,滁州
1131,002598,山东章鼓,山东省济南市,山东省济南市,山东省章丘鼓风机股份有限公司,济南
1132,002599,盛通股份,北京,北京,北京盛通印刷股份有限公司,北京
1133,002600,领益智造,广东省江门市,广东省江门市,广东领益智造股份有限公司,江门
1134,002601,龙佰集团,河南省焦作市,河南省焦作市,龙佰集团股份有限公司,焦作
1135,002602,世纪华通,浙江省绍兴市,浙江省绍兴市,浙江世纪华通集团股份有限公司,绍兴
1136,002603,以岭药业,河北省石家庄市,河北省石家庄市,石家庄以岭药业股份有限公司,石家庄
1137,002604,*ST 龙力,山东省禹城市,山东省禹城市,山东龙力生物科技股份有限公司,德州
